id,source,brand,product_url,title,category,gender,price,sale,description,image_url,second_hand
,scraper-bound,Bound,https://wearebound.com/products/gift-card,GIFT CARD,Gift Card,UNISEX,14.08USD,14.08USD,,http://wearebound.com/cdn/shop/files/gift_card_7cc25780-d86b-4374-8eb0-66dcc5b326c3.jpg?v=1686925938,False
,scraper-bound,Bound,https://wearebound.com/products/alpaca-brushed-stripe-sweat,ALPACA BRUSHED STRIPE SWEAT,,UNISEX,176USD,176USD,,http://wearebound.com/cdn/shop/files/109758.jpg?v=1759242016,False
,scraper-bound,Bound,https://wearebound.com/products/rose-pink-acid-wash-half-zip-knit-pullover,ROSE PINK ACID WASH HALF ZIP KNIT PULLOVER,Knitwear,UNISEX,138USD,138USD,,http://wearebound.com/cdn/shop/files/110593.jpg?v=1759258038,False
,scraper-bound,Bound,https://wearebound.com/products/roasted-roots-wool-cardigan,ROASTED ROOTS WOOL CARDIGAN,Cardigans,UNISEX,169USD,169USD,,http://wearebound.com/cdn/shop/files/110727.jpg?v=1759257907,False
,scraper-bound,Bound,https://wearebound.com/products/oxford-wool-button-up-knit,OXFORD WOOL BUTTON UP KNIT,Knitwear,UNISEX,113USD,113USD,,http://wearebound.com/cdn/shop/files/110704.jpg?v=1759257776,False
,scraper-bound,Bound,https://wearebound.com/products/dexter-cropped-alpaca-knit-grey,DEXTER CROPPED ALPACA KNIT - GREY,Knitwear,UNISEX,162USD,162USD,,http://wearebound.com/cdn/shop/files/109756.jpg?v=1759241847,False
,scraper-bound,Bound,https://wearebound.com/products/dexter-cropped-alpaca-knit-forest-green,DEXTER CROPPED ALPACA KNIT - FOREST GREEN,Knitwear,UNISEX,162USD,162USD,,http://wearebound.com/cdn/shop/files/110599.jpg?v=1759257604,False
,scraper-bound,Bound,https://wearebound.com/products/dexter-cropped-alpaca-knit-navy,DEXTER CROPPED ALPACA KNIT - NAVY,Knitwear,UNISEX,162USD,162USD,,http://wearebound.com/cdn/shop/files/107498.jpg?v=1763026082,False
,scraper-bound,Bound,https://wearebound.com/products/cable-knit-acid-wash-knit-green,CABLE KNIT ACID WASH KNIT - GREEN,Knitwear,UNISEX,127USD,127USD,,http://wearebound.com/cdn/shop/files/107532.jpg?v=1762981040,False
,scraper-bound,Bound,https://wearebound.com/products/acid-wash-half-zip-pullover-brown,ACID WASH HALF ZIP PULLOVER - BROWN,,UNISEX,138USD,138USD,,http://wearebound.com/cdn/shop/files/107409.jpg?v=1763026197,False
